In distribution
"0: 20, 1: 19, 2: 12, 96.81: 1, 4.0: 2, 5: 3, 3: 6, 6: 1, 67.81: 1, 7: 1, 69.81: 1, 7.1182: 1, 12.547: 1, 8: 1, 6.7478: 1, 15.0279: 1"
"0: 65, 1: 157, 2: 65, 3: 19, 4: 11, 5: 7, 6.0: 1, 7: 3, 8: 2, 9.0: 1, 10.0: 1, 11.0: 1, 12: 1, 13: 1, 14.0: 1, 18.0: 1, 21: 1, 25: 1, 162.0: 1, 65.0: 1, 66.0: 1"
"0: 356, 1: 801, 2: 242, 3: 113, 4: 36, 5: 27, 6.0: 15, 7: 9, 8: 11, 9: 6, 10: 8, 11: 4, 12: 5, 13.0: 6, 14: 1, 15: 4, 16.0: 1, 17.0: 3, 137.7739: 1, 20: 1, 128.0: 1, 28: 1, 33.0: 1, 37: 1, 40: 1, 41.0: 1, 48.0: 1, 306.806: 1, 51: 1, 52.0: 1, 59.0: 1, 320.81: 1, 64.0: 1, 66.0: 1, 79.0: 1, 84.0: 1, 114.0: 1, 883.81: 1"
"0: 356, 1: 799, 2: 244, 3: 113, 4: 35, 5: 27, 6: 15, 7.0: 10, 8: 10, 9: 7, 10: 8, 11: 4, 12: 5, 13.0: 6, 14: 1, 15: 4, 16.0: 1, 17.0: 2, 137.7739: 1, 18.0: 1, 20: 1, 128.0: 1, 28: 1, 33.0: 1, 37: 1, 40: 1, 41.0: 1, 48.0: 1, 306.806: 1, 51: 1, 52.0: 1, 59.0: 1, 320.81: 1, 64.0: 1, 66.0: 1, 79.0: 1, 84.0: 1, 114.0: 1, 888.81: 1"
"0: 130, 1: 353, 2: 84, 3: 20, 4: 5, 5.0: 3, 6: 8, 7: 1, 8: 2, 3.7: 1, 9: 1, 11.4: 1, 12.0: 2, 13: 1, 11.0: 1, 15.0: 1, 16: 1, 18.0: 1, 20.0: 1, 27.0: 2, 33.0: 1, 41: 1, 170.998: 1, 46: 1, 176.0: 1, 53.0: 1, 310.99760000000003: 1, 68.0: 1, 78.799: 1"
"0: 175, 1: 648, 2: 160, 3: 45, 4: 17, 5.0: 12, 6.0: 4, 7.0: 6, 8: 8, 9: 4, 10.0: 2, 11.0: 1, 12: 3, 13.0: 2, 14.0: 2, 16.0: 2, 17.0: 1, 20.0: 2, 25.0: 1, 154.094843: 1, 27.0: 1, 29: 1, 34.0: 1, 677.4: 1, 39: 1, 44: 1, 48.0: 1, 65.0: 1, 78.0: 1, 91: 1, 94.0: 1, 351.4: 1, 352.3917: 1"
"0: 176, 1: 429, 2: 145, 3: 32, 4: 39, 132.369: 1, 6: 5, 7: 8, 5: 18, 8: 5, 9.0: 4, 11: 2, 12.0: 2, 10: 4, 14.0: 2, 13.0: 2, 16.0: 1, 17.0: 1, 18.0: 2, 20.0: 1, 21.0: 1, 23.0: 1, 24.0: 3, 25.0: 1, 29: 2, 30.0: 1, 31: 1, 34: 1, 37.0: 1, 38.0: 1, 41.0: 1, 44.0: 1, 49.0: 3, 52.0: 1, 310.369: 1, 65.0: 1, 75.0: 1, 76.0: 1, 127.369: 1"
"0: 176, 1: 429, 2: 148, 3: 33, 4: 38, 5: 19, 6: 8, 7: 6, 134.369: 1, 8: 6, 9.0: 4, 11: 2, 12.0: 1, 10: 4, 14.0: 3, 129.369: 1, 13.0: 2, 17.0: 1, 18.0: 1, 20.0: 1, 21.0: 1, 23.0: 2, 24.0: 1, 27.0: 1, 29: 2, 30.0: 1, 31: 2, 32.0: 1, 34: 1, 37.0: 1, 39.0: 1, 47.0: 1, 48.0: 1, 50.0: 1, 52.0: 1, 311.369: 1, 61.0: 1, 73.0: 1, 77.0: 2"
"0: 177, 1: 428, 2: 148, 3: 33, 4: 40, 5: 19, 6: 8, 134.369: 1, 7: 6, 8.0: 5, 10.0: 5, 9.0: 5, 131.369: 1, 12: 1, 14.0: 2, 13.0: 2, 16.0: 1, 17.0: 1, 18.0: 1, 11: 1, 20.0: 1, 21.0: 1, 22.0: 1, 23.0: 1, 24.0: 1, 27.0: 1, 29: 1, 30.0: 1, 31.0: 2, 32: 1, 34: 1, 35.0: 1, 36.0: 1, 39.0: 1, 44.0: 1, 45.0: 1, 50.0: 1, 53.0: 1, 316.369: 1, 63.0: 1, 73.0: 1, 77.0: 1, 81.0: 1"
"0: 177, 1: 431, 2: 147, 3: 32, 4: 39, 5: 19, 6: 8, 134.369: 1, 7: 6, 8.0: 6, 9.0: 4, 11: 2, 12.0: 1, 10: 4, 14.0: 2, 13.0: 2, 16.0: 1, 17.0: 1, 129.369: 1, 18.0: 1, 20.0: 1, 21.0: 1, 22.0: 1, 23.0: 1, 24.0: 1, 25.0: 1, 29: 2, 30.0: 1, 31: 2, 34: 2, 35.0: 1, 39.0: 1, 47.0: 1, 48.0: 1, 50.0: 2, 313.369: 1, 63.0: 1, 73.0: 1, 75.0: 1, 77.0: 1"
"0: 177, 1: 430, 2: 148, 3: 33, 4: 38, 5: 19, 6: 8, 134.369: 1, 8.0: 6, 7: 6, 10.0: 5, 9.0: 4, 11: 2, 129.369: 1, 14.0: 2, 13.0: 2, 16.0: 1, 17.0: 1, 18.0: 1, 20.0: 1, 21.0: 1, 22.0: 1, 23.0: 2, 27.0: 1, 29: 1, 30.0: 1, 31: 3, 34: 1, 35.0: 1, 36.0: 1, 39.0: 1, 44.0: 1, 45.0: 1, 50.0: 1, 53.0: 1, 311.369: 1, 63.0: 1, 73.0: 1, 77.0: 1, 81.0: 1"
"0: 444, 1: 937, 2: 277, 3: 110, 388.89160000000004: 1, 4: 43, 5: 24, 7: 15, 391.9: 1, 9: 6, 8: 9, 11.0: 4, 133.0: 1, 13: 6, 14: 3, 6: 21, 15.0: 4, 17: 2, 18.0: 1, 19: 1, 20: 1, 21.0: 1, 155.523734: 1, 27: 1, 33.0: 1, 1057.9: 1, 43.0: 1, 45: 1, 50: 1, 10: 11, 52.0: 1, 59: 1, 12.0: 3, 63.0: 2, 73.0: 1, 79.0: 1, 82.0: 1, 91.0: 1, 125.0: 1"
"0: 444, 1: 932, 2: 285, 3: 107, 4: 42, 388.89160000000004: 1, 5: 25, 7: 14, 8.0: 9, 9: 8, 393.9: 1, 138.0: 1, 11.0: 4, 13: 6, 6: 20, 15: 7, 10: 13, 17: 2, 16.0: 1, 12: 3, 20: 1, 18.0: 1, 154.523734: 1, 27: 1, 34.0: 1, 43.0: 1, 44: 1, 1067.9: 1, 50: 1, 53.0: 1, 59: 1, 60.0: 1, 69.0: 1, 74.0: 1, 79.0: 1, 86.0: 1, 91.0: 1, 125.0: 1"
